start_up,headline,current_position,skills
dropbox,Software Engineer bei Dropbox,,
dropbox,Software Engineer at Dropbox,,
dropbox,Senior Software Engineer,,
dropbox,Partnerships and Distribution - EMEA @ Dropbox,,
dropbox,Software Engineer at Dropbox,,
dropbox,Corporate Chef at Dropbox Inc,,
dropbox,Engineering Manager,,
dropbox,I can‘t fix stupid. So I fix what stupid does. 🤷‍♂️,,
dropbox,Head of Media & Entertainment DACH at Dropbox | Senior Account Management for Growth,,
dropbox,Senior Revenue Operations Product Manager at Dropbox,,
dropbox,Software Developer at Dropbox,,
dropbox,Account Manager DACH at Dropbox,,
dropbox,Head of Japan Marketing,,
dropbox,Security Engineer,,
dropbox,Software Engineer at Dropbox,,
dropbox,Frontend Software Engineer,,
dropbox,Senior Software Engineer at Dropbox,,
dropbox,Software Engineer,,
dropbox,Marketing & Creative Strategy | Partnerships | Business Development,,
dropbox,Senior Software Engineer at Dropbox,,
dropbox,Building generative AI productivity software,,
dropbox,at Dropbox,,
dropbox,Principal Engineer at Dropbox,,
dropbox,Associate Creative Director at Dropbox,,
dropbox,Manager - Software and Services Procurement,,
dropbox,Engineering Leadership at Dropbox,,
dropbox,Recruiting at Dropbox,,
dropbox,People Partner at Dropbox,,
dropbox,Head of Channel Distribution for Central Europe @ Dropbox,,
dropbox,Product Manager at Dropbox | UX Design background,,
dropbox,Dropbox,,
dropbox,💻 Senior Software Engineer at Dropbox,,
dropbox,Supply Chain Manager,,
dropbox,Strategic Sourcing at Dropbox,,
dropbox,"CTO, Dropbox | Advisor",,
dropbox,Head of International Field and Channel Marketing,,
dropbox,Chief People Officer at Dropbox,,
dropbox,Software Engineer,,
dropbox,Project Manager - Commercial Strategy and Operations @ Dropbox,,
dropbox,Senior Software Engineer,,
airbnb,Communications @ Airbnb,"Senior Communications Lead, DACH & CEE",
airbnb,Housekeeper at Airbnb,,
airbnb,Secretary at Airbnb,,
airbnb,Praktikant bei Airbnb,,
airbnb,Research Assistant at Airbnb,,
airbnb,"Media Production Lead - Tech & Innovation at Heise Medien GmbH & Co. KG | BA Political Science, University of Vienna",,
airbnb,Leiter bei Airbnb,,
airbnb,Marketing Manager at Airbnb,,
airbnb,Support & Consulting,,
airbnb,Assistant at Airbnb,,
airbnb,Assistant at Airbnb,,
airbnb,Supervisor at Airbnb,,
airbnb,"Accelerating the transition to renewable energy at work, at home & everywhere I go.",,
airbnb,Architecture at Airbnb,,
airbnb,Assistant at Airbnb,,
airbnb,Project Manager | Strategist | Marketing Expert,,
airbnb,"Assistant Manager | Architectural Design, AutoCAD",,
airbnb,Personal de limpieza en Airbnb,,
airbnb,Arbeitslos bei Airbnb,,
airbnb,Analyst at Airbnb,,
airbnb,Assistant at Airbnb,,
airbnb,Java Developer at Airbnb,,
airbnb,International Business Student and Airbnb Host,,
airbnb,Life is full of success,,
airbnb,Betreuer für Polnische Fachkräfte,,
airbnb,Customer Service Professionel eCommerce & Tourismus,,
airbnb,"Cogito, ergo sum",,
airbnb,Airbnb Luxe Home Consultant,,
airbnb,bei casa Ingenieure GmbH,,
airbnb,Vertriebsmitarbeiter bei Airbnb,,
airbnb,Arbeitslos bei Airbnb,,
airbnb,Softwareingenieur bei Airbnb,,
airbnb,Salesperson,,
airbnb,Airbnb şirketinde Ev Hanımı,,
airbnb,Account-Manager bei Airbnb,,
airbnb,Assistant at Airbnb,,
airbnb,Analyst bei Airbnb,,
airbnb,Arbeitgeber bei Airbnb,,
airbnb,Leiter bei Airbnb,,
airbnb,Assistent bei Airbnb,,
airbnb,Unternehmensinhaber bei Airbnb,,
airbnb,Partner bei Airbnb,,
airbnb,Market Manager @ Airbnb,,
airbnb,Assistent der Geschäftsleitung bei Airbnb,,
airbnb,Associate في Airbnb,,
airbnb,Customer Support Specialist at Airbnb,,
airbnb,Commission Sales Associate at Airbnb,,
airbnb,Assistant Manager at Airbnb,,
airbnb,Ausbilder bei Airbnb,,
airbnb,Ausbildung at Airbnb,,
stripe,Building. Strong. Sales. Networks.,Alliances & Channel Manager DACH ,"[{'name': 'C-Level', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Business-to-Business (B2B)', 'endorsements': 2, 'passed_assessment': None}, {'name': 'Strategische Partnerschaften', 'endorsements': 2, 'passed_assessment': None}, {'name': 'Go-to-Market', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Umsatzgenerierung', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Business Analytics', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Unternehmensstrategie', 'endorsements': 2, 'passed_assessment': None}, {'name': 'Optimierung von Geschäftsabläufen', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Geschäftsentwicklung', 'endorsements': 2, 'passed_assessment': None}, {'name': 'Projektmanagement', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Customer Relationship Management (CRM)', 'endorsements': 2, 'passed_assessment': None}, {'name': 'Account-Management', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Marketing', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Strategische Planung', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Strategie', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Veränderungsmanagement', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Unternehmensanalyse', 'endorsements': 0, 'passed_assessment': None}, {'name': 'SaaS', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Unternehmenssoftware', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Management', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Abteilungsübergreifende Teamführung', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Enterprise Project Management', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Supply-Chain-Management', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Lieferantenmanagement', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Professional Services', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Teamführung', 'endorsements': 0, 'passed_assessment': None}]"
stripe,Head of DACH - Revenue & Growth,"Head of DACH (Germany, Austria and Switzerland) and Central and Eastern Europe","[{'name': 'Abteilungsübergreifende Teamführung', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Zahlungen', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Vertriebs- und Marketingleitung', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Analytische Fähigkeiten', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Start-ups', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Vertriebskanalpartner', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Business Development', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Verhandlungsführung', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Kommunikation', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Finanzinstrumente', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Vertriebsprozesse', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Business-to-Business (B2B)', 'endorsements': 0, 'passed_assessment': None}, {'name': 'B2B2C', 'endorsements': 0, 'passed_assessment': None}, {'name': 'SaaS-Vertrieb', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Unternehmensstrategie', 'endorsements': 0, 'passed_assessment': None}, {'name': 'MEDDIC Sales Methodology', 'endorsements': 0, 'passed_assessment': None}, {'name': 'E-Payments', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Zahlungssysteme', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Künstliche Intelligenz (KI)', 'endorsements': 0, 'passed_assessment': None}, {'name': 'E-Commerce', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Partner Engagement', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Identity Management', 'endorsements': 12, 'passed_assessment': None}, {'name': 'Solution Selling', 'endorsements': 12, 'passed_assessment': None}, {'name': 'Cloud Computing', 'endorsements': 26, 'passed_assessment': None}, {'name': 'Data Center', 'endorsements': 4, 'passed_assessment': None}, {'name': 'Pre-sales', 'endorsements': 4, 'passed_assessment': None}, {'name': 'Financial Services', 'endorsements': 3, 'passed_assessment': None}, {'name': 'Sales Management', 'endorsements': 10, 'passed_assessment': None}, {'name': 'Professional Services', 'endorsements': 7, 'passed_assessment': None}, {'name': 'Sales', 'endorsements': 7, 'passed_assessment': None}, {'name': 'Sales Enablement', 'endorsements': 12, 'passed_assessment': None}, {'name': 'Business Alliances', 'endorsements': 11, 'passed_assessment': None}, {'name': 'Go-to-market Strategy', 'endorsements': 6, 'passed_assessment': None}, {'name': 'Enterprise Software', 'endorsements': 24, 'passed_assessment': None}, {'name': 'SaaS', 'endorsements': 55, 'passed_assessment': None}, {'name': 'Salesforce.com', 'endorsements': 8, 'passed_assessment': None}, {'name': 'Software as a Service (SaaS)', 'endorsements': 13, 'passed_assessment': None}, {'name': 'Leadership', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Management', 'endorsements': 0, 'passed_assessment': None}]"
stripe,Global Head of SAP Alliances & Channels,Global Head of SAP GTM Partnership,"[{'name': 'Kommunikation', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Organisationsfähigkeiten', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Selbstvertrauen', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Verhandlungsführung', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Abteilungsübergreifende Teamführung', 'endorsements': 0, 'passed_assessment': None}, {'name': 'SAP-Produkte', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Consultative Selling', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Sales', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Leadership', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Komplexer Vertrieb', 'endorsements': 0, 'passed_assessment': None}, {'name': 'SaaS-Vertrieb', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Cloud Computing', 'endorsements': 44, 'passed_assessment': None}, {'name': 'Partner Management', 'endorsements': 42, 'passed_assessment': None}, {'name': 'Go-to-market Strategy', 'endorsements': 25, 'passed_assessment': None}, {'name': 'Enterprise Software', 'endorsements': 35, 'passed_assessment': None}, {'name': 'SaaS', 'endorsements': 39, 'passed_assessment': None}, {'name': 'Business Alliances', 'endorsements': 32, 'passed_assessment': None}, {'name': 'Solution Selling', 'endorsements': 21, 'passed_assessment': None}, {'name': 'Channel', 'endorsements': 2, 'passed_assessment': None}, {'name': 'Strategic Partnerships', 'endorsements': 16, 'passed_assessment': None}, {'name': 'Product Management', 'endorsements': 8, 'passed_assessment': None}, {'name': 'Demand Generation', 'endorsements': 4, 'passed_assessment': None}, {'name': 'Product Marketing', 'endorsements': 31, 'passed_assessment': None}, {'name': 'Channel Partners', 'endorsements': 6, 'passed_assessment': None}, {'name': 'Strategic Alliances', 'endorsements': 4, 'passed_assessment': None}, {'name': 'IT Strategy', 'endorsements': 7, 'passed_assessment': None}, {'name': 'Sales Enablement', 'endorsements': 9, 'passed_assessment': None}, {'name': 'Pre-sales', 'endorsements': 14, 'passed_assessment': None}, {'name': 'Customer Satisfaction', 'endorsements': 3, 'passed_assessment': None}, {'name': 'Professional Services', 'endorsements': 4, 'passed_assessment': None}, {'name': 'Business Intelligence', 'endorsements': 4, 'passed_assessment': None}, {'name': 'Long-term Customer Relationships', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Software as a Service (SaaS)', 'endorsements': 5, 'passed_assessment': None}, {'name': 'Strategy', 'endorsements': 5, 'passed_assessment': None}, {'name': 'Strategic Planning', 'endorsements': 2, 'passed_assessment': None}]"
